SCS_CHI,DMS_X,DMS_Y,DMS_Z,DMS_Seq,DMS_Secs,DMS_Nsecs
30.000000485004186,0.019531665,-0.108801272,-0.071210191,94668,1627913379,994956790
30.000000485004186,0.019545944000000003,-0.10878623700000001,-0.071205289,94669,1627913380,863589
30.000000485004186,0.019550770000000002,-0.108775143,-0.0711972,94670,1627913380,7005885
30.000000485004186,0.019560664000000002,-0.108775139,-0.07120302,94671,1627913380,12899926
30.000000863667694,0.019572183,-0.10878928500000001,-0.071183115,94672,1627913380,18939306
30.000000863667694,0.01959644,-0.10879589,-0.071184673,94673,1627913380,24964190
30.000000863667694,0.019593331000000002,-0.108796609,-0.071177739,94674,1627913380,30889966
30.000000585238627,0.019587776,-0.10878975900000001,-0.071176575,94675,1627913380,36932231
30.000000585238627,0.019576651,-0.10876677900000001,-0.07117032000000001,94676,1627913380,42895745
30.000000585238627,0.019568553000000002,-0.108761828,-0.07118572000000001,94677,1627913380,48953694
29.999999905871643,0.019560099,-0.108771798,-0.071183033,94678,1627913380,54805886
29.999999905871643,0.019556543000000003,-0.10877228800000001,-0.071187017,94679,1627913380,60822616
29.999999905871643,0.019560069000000003,-0.108785115,-0.071192672,94680,1627913380,66873708
29.999999905871643,0.019563486,-0.10879794200000001,-0.07120670700000001,94681,1627913380,72922742
30.00000280153414,0.019579578,-0.10881077300000001,-0.07122971,94682,1627913380,78961817
30.00000280153414,0.019587122000000002,-0.108817569,-0.07122534700000001,94683,1627913380,84882697
30.00000280153414,0.019588300000000003,-0.10880134300000001,-0.071219236,94684,1627913380,90849901
29.999998716979437,0.019577768000000002,-0.10878140800000001,-0.071239944,94685,1627913380,96867539
29.999998716979437,0.019569656,-0.10878441000000001,-0.071242541,94686,1627913380,102931229
29.999998716979437,0.019582519,-0.108786899,-0.07122307800000001,94687,1627913380,108961313
30.000005677706532,0.019580554,-0.108780923,-0.07120135500000001,94688,1627913380,114842687
30.000005677706532,0.019576796,-0.108765104,-0.07120412100000001,94689,1627913380,120942652
30.000005677706532,0.019552628000000002,-0.10873292100000001,-0.071211338,94690,1627913380,126985831
30.000005677706532,0.019546880000000003,-0.108690092,-0.071219133,94691,1627913380,132865088
29.999997917887924,0.019534349000000003,-0.10867417300000001,-0.071215835,94692,1627913380,138938176
29.999997917887924,0.019529581,-0.10868348900000001,-0.07121580400000001,94693,1627913380,144845891
29.999997917887924,0.019547451,-0.10871559800000001,-0.071217866,94694,1627913380,150834855
29.999999602383966,0.019523571,-0.10870019900000001,-0.071219844,94695,1627913380,156898052
29.999999602383966,0.01950872,-0.10868616,-0.07121053000000001,94696,1627913380,162980825
29.999999602383966,0.019509909000000002,-0.10866091300000001,-0.071225156,94697,1627913380,168891968
29.999999265484767,0.019512617000000003,-0.108659642,-0.071236012,94698,1627913380,174881092
29.999999265484767,0.019510418,-0.10866818700000001,-0.071230738,94699,1627913380,180916148
29.999999265484767,0.019507541,-0.10868902000000001,-0.071209756,94700,1627913380,186912066
30.000001651622,0.019491643000000003,-0.108702962,-0.07122410400000001,94701,1627913380,192890821
30.000001651622,0.019476046,-0.108676271,-0.071250431,94702,1627913380,198887598
30.000001651622,0.019483294,-0.108670312,-0.07124422200000001,94703,1627913380,204947752
30.000001651622,0.019509761,-0.10867272300000001,-0.071229337,94704,1627913380,210791122
